Indicator,Year,WHO region,Country,Causes,Display Value,Numeric
"Age-standardized DALYs (per 100,000)",2012,Africa,Democratic Republic of the Congo,All Causes,"92,831",92830.5625
"Age-standardized DALYs (per 100,000)",2012,Africa,Democratic Republic of the Congo,Communicable & other Group I,"54,455",54454.83984
"Age-standardized DALYs (per 100,000)",2012,Africa,Democratic Republic of the Congo,Noncommunicable diseases,"29,549",29549.46094
"Age-standardized DALYs (per 100,000)",2012,Africa,Democratic Republic of the Congo,Injuries,"8,826",8826.24805
"Age-standardized DALYs (per 100,000)",2000,Africa,Congo,All Causes,"90,299",90299.40625
"Age-standardized DALYs (per 100,000)",2000,Africa,Congo,Communicable & other Group I,"58,050",58050.46094
"Age-standardized DALYs (per 100,000)",2000,Africa,Congo,Noncommunicable diseases,"25,841",25841.08008
"Age-standardized DALYs (per 100,000)",2000,Africa,Congo,Injuries,"6,408",6407.86816
"Age-standardized DALYs (per 100,000)",2012,Africa,Congo,All Causes,"70,611",70611.13281
"Age-standardized DALYs (per 100,000)",2012,Africa,Congo,Communicable & other Group I,"38,994",38993.64844
"Age-standardized DALYs (per 100,000)",2012,Africa,Congo,Noncommunicable diseases,"25,928",25927.65039
"Age-standardized DALYs (per 100,000)",2012,Africa,Congo,Injuries,"5,690",5689.82813
"Age-standardized DALYs (per 100,000)",2000,Americas,Colombia,All Causes,"34,477",34476.71094
"Age-standardized DALYs (per 100,000)",2000,Americas,Colombia,Communicable & other Group I,"6,110",6109.78418
"Age-standardized DALYs (per 100,000)",2000,Americas,Colombia,Noncommunicable diseases,"20,269",20268.50977
"Age-standardized DALYs (per 100,000)",2000,Americas,Colombia,Injuries,"8,098",8098.41406
"Age-standardized DALYs (per 100,000)",2012,Americas,Colombia,All Causes,"27,188",27187.56055
"Age-standardized DALYs (per 100,000)",2012,Americas,Colombia,Communicable & other Group I,"4,614",4613.59424
"Age-standardized DALYs (per 100,000)",2012,Americas,Colombia,Noncommunicable diseases,"18,258",18257.91016
"Age-standardized DALYs (per 100,000)",2012,Americas,Colombia,Injuries,"4,316",4316.05615
"Age-standardized DALYs (per 100,000)",2000,Africa,Comoros,All Causes,"69,054",69053.60156
"Age-standardized DALYs (per 100,000)",2000,Africa,Comoros,Communicable & other Group I,"32,778",32777.80078
"Age-standardized DALYs (per 100,000)",2000,Africa,Comoros,Noncommunicable diseases,"29,912",29911.83984
"Age-standardized DALYs (per 100,000)",2000,Africa,Comoros,Injuries,"6,364",6363.96484
"Age-standardized DALYs (per 100,000)",2012,Africa,Comoros,All Causes,"59,673",59673.37891
"Age-standardized DALYs (per 100,000)",2012,Africa,Comoros,Communicable & other Group I,"25,705",25705.09961
"Age-standardized DALYs (per 100,000)",2012,Africa,Comoros,Noncommunicable diseases,"27,638",27638.16016
"Age-standardized DALYs (per 100,000)",2012,Africa,Comoros,Injuries,"6,330",6330.11719
"Age-standardized DALYs (per 100,000)",2000,Africa,Cabo Verde,All Causes,"41,048",41048.05078
"Age-standardized DALYs (per 100,000)",2000,Africa,Cabo Verde,Communicable & other Group I,"13,489",13488.53027
"Age-standardized DALYs (per 100,000)",2000,Africa,Cabo Verde,Noncommunicable diseases,"24,358",24358.34961
"Age-standardized DALYs (per 100,000)",2000,Africa,Cabo Verde,Injuries,"3,201",3201.17407
"Age-standardized DALYs (per 100,000)",2012,Africa,Cabo Verde,All Causes,"31,195",31194.57031
"Age-standardized DALYs (per 100,000)",2012,Africa,Cabo Verde,Communicable & other Group I,"8,291",8291.00195
"Age-standardized DALYs (per 100,000)",2012,Africa,Cabo Verde,Noncommunicable diseases,"20,378",20377.86914
"Age-standardized DALYs (per 100,000)",2012,Africa,Cabo Verde,Injuries,"2,526",2525.70093
"Age-standardized DALYs (per 100,000)",2000,Americas,Costa Rica,All Causes,"25,405",25405.16016
"Age-standardized DALYs (per 100,000)",2000,Americas,Costa Rica,Communicable & other Group I,"3,129",3128.94409
"Age-standardized DALYs (per 100,000)",2000,Americas,Costa Rica,Noncommunicable diseases,"19,528",19527.66016
"Age-standardized DALYs (per 100,000)",2000,Americas,Costa Rica,Injuries,"2,749",2748.55908
"Age-standardized DALYs (per 100,000)",2012,Americas,Costa Rica,All Causes,"23,017",23016.53906
"Age-standardized DALYs (per 100,000)",2012,Americas,Costa Rica,Communicable & other Group I,"2,549",2549.33496
"Age-standardized DALYs (per 100,000)",2012,Americas,Costa Rica,Noncommunicable diseases,"17,960",17960.49023
"Age-standardized DALYs (per 100,000)",2012,Americas,Costa Rica,Injuries,"2,507",2506.71094
"Age-standardized DALYs (per 100,000)",2000,Americas,Cuba,All Causes,"26,736",26736.08984
"Age-standardized DALYs (per 100,000)",2000,Americas,Cuba,Communicable & other Group I,"3,410",3409.90088
"Age-standardized DALYs (per 100,000)",2000,Americas,Cuba,Noncommunicable diseases,"20,193",20192.9707
"Age-standardized DALYs (per 100,000)",2000,Americas,Cuba,Injuries,"3,133",3133.22192
"Age-standardized DALYs (per 100,000)",2012,Americas,Cuba,All Causes,"25,180",25179.66992
"Age-standardized DALYs (per 100,000)",2012,Americas,Cuba,Communicable & other Group I,"2,847",2846.53809
"Age-standardized DALYs (per 100,000)",2012,Americas,Cuba,Noncommunicable diseases,"18,988",18988.4707
"Age-standardized DALYs (per 100,000)",2012,Americas,Cuba,Injuries,"3,345",3344.66406
"Age-standardized DALYs (per 100,000)",2000,Europe,Cyprus,All Causes,"21,523",21522.50977
"Age-standardized DALYs (per 100,000)",2000,Europe,Cyprus,Communicable & other Group I,"1,042",1042.30603
"Age-standardized DALYs (per 100,000)",2000,Europe,Cyprus,Noncommunicable diseases,"17,483",17482.56055
"Age-standardized DALYs (per 100,000)",2000,Europe,Cyprus,Injuries,"2,998",2997.65088
"Age-standardized DALYs (per 100,000)",2012,Europe,Cyprus,All Causes,"15,789",15789.41016
"Age-standardized DALYs (per 100,000)",2012,Europe,Cyprus,Communicable & other Group I,713,712.51862
"Age-standardized DALYs (per 100,000)",2012,Europe,Cyprus,Noncommunicable diseases,"13,230",13230.20996
"Age-standardized DALYs (per 100,000)",2012,Europe,Cyprus,Injuries,"1,847",1846.68201
"Age-standardized DALYs (per 100,000)",2000,Europe,Czech Republic,All Causes,"26,544",26544.2793
"Age-standardized DALYs (per 100,000)",2000,Europe,Czech Republic,Communicable & other Group I,"1,700",1700.21399
"Age-standardized DALYs (per 100,000)",2000,Europe,Czech Republic,Noncommunicable diseases,"21,451",21451.19922
"Age-standardized DALYs (per 100,000)",2000,Europe,Czech Republic,Injuries,"3,393",3392.86401
"Age-standardized DALYs (per 100,000)",2012,Europe,Czech Republic,All Causes,"22,380",22380.11914
"Age-standardized DALYs (per 100,000)",2012,Europe,Czech Republic,Communicable & other Group I,"1,631",1631.02295
"Age-standardized DALYs (per 100,000)",2012,Europe,Czech Republic,Noncommunicable diseases,"17,998",17997.96094
"Age-standardized DALYs (per 100,000)",2012,Europe,Czech Republic,Injuries,"2,751",2751.14111
"Age-standardized DALYs (per 100,000)",2000,Europe,Germany,All Causes,"22,368",22368.10938
"Age-standardized DALYs (per 100,000)",2000,Europe,Germany,Communicable & other Group I,"1,220",1219.57104
"Age-standardized DALYs (per 100,000)",2000,Europe,Germany,Noncommunicable diseases,"18,806",18806.30078
"Age-standardized DALYs (per 100,000)",2000,Europe,Germany,Injuries,"2,342",2342.23901
"Age-standardized DALYs (per 100,000)",2012,Europe,Germany,All Causes,"19,224",19223.68945
"Age-standardized DALYs (per 100,000)",2012,Europe,Germany,Communicable & other Group I,"1,129",1129.32104
"Age-standardized DALYs (per 100,000)",2012,Europe,Germany,Noncommunicable diseases,"16,280",16280.42969
"Age-standardized DALYs (per 100,000)",2012,Europe,Germany,Injuries,"1,814",1813.94702
"Age-standardized DALYs (per 100,000)",2000,Eastern Mediterranean,Djibouti,All Causes,"75,169",75168.65625
"Age-standardized DALYs (per 100,000)",2000,Eastern Mediterranean,Djibouti,Communicable & other Group I,"41,149",41148.66016
"Age-standardized DALYs (per 100,000)",2000,Eastern Mediterranean,Djibouti,Noncommunicable diseases,"28,175",28175.42969
"Age-standardized DALYs (per 100,000)",2000,Eastern Mediterranean,Djibouti,Injuries,"5,845",5844.56885
"Age-standardized DALYs (per 100,000)",2012,Eastern Mediterranean,Djibouti,All Causes,"64,677",64677.46094
"Age-standardized DALYs (per 100,000)",2012,Eastern Mediterranean,Djibouti,Communicable & other Group I,"33,378",33378.14844
"Age-standardized DALYs (per 100,000)",2012,Eastern Mediterranean,Djibouti,Noncommunicable diseases,"26,117",26117.18945
"Age-standardized DALYs (per 100,000)",2012,Eastern Mediterranean,Djibouti,Injuries,"5,182",5182.11914
"Age-standardized DALYs (per 100,000)",2000,Europe,Denmark,All Causes,"23,437",23437.38086
"Age-standardized DALYs (per 100,000)",2000,Europe,Denmark,Communicable & other Group I,"1,176",1176.10303
"Age-standardized DALYs (per 100,000)",2000,Europe,Denmark,Noncommunicable diseases,"19,796",19795.86914
"Age-standardized DALYs (per 100,000)",2000,Europe,Denmark,Injuries,"2,465",2465.41089
"Age-standardized DALYs (per 100,000)",2012,Europe,Denmark,All Causes,"20,451",20450.91992
"Age-standardized DALYs (per 100,000)",2012,Europe,Denmark,Communicable & other Group I,"1,285",1284.97205
"Age-standardized DALYs (per 100,000)",2012,Europe,Denmark,Noncommunicable diseases,"17,408",17408.30078
"Age-standardized DALYs (per 100,000)",2012,Europe,Denmark,Injuries,"1,758",1757.64697
"Age-standardized DALYs (per 100,000)",2000,Americas,Dominican Republic,All Causes,"34,618",34618.48047
"Age-standardized DALYs (per 100,000)",2000,Americas,Dominican Republic,Communicable & other Group I,"10,404",10404.41992
"Age-standardized DALYs (per 100,000)",2000,Americas,Dominican Republic,Noncommunicable diseases,"20,300",20300.4707
"Age-standardized DALYs (per 100,000)",2000,Americas,Dominican Republic,Injuries,"3,914",3913.58789
"Age-standardized DALYs (per 100,000)",2012,Americas,Dominican Republic,All Causes,"29,597",29597.34961
"Age-standardized DALYs (per 100,000)",2012,Americas,Dominican Republic,Communicable & other Group I,"6,243",6242.64404
"Age-standardized DALYs (per 100,000)",2012,Americas,Dominican Republic,Noncommunicable diseases,"18,424",18423.7207
"Age-standardized DALYs (per 100,000)",2012,Americas,Dominican Republic,Injuries,"4,931",4930.98584
"Age-standardized DALYs (per 100,000)",2000,Africa,Algeria,All Causes,"38,868",38868.19141
"Age-standardized DALYs (per 100,000)",2000,Africa,Algeria,Communicable & other Group I,"8,253",8253.05957
"Age-standardized DALYs (per 100,000)",2000,Africa,Algeria,Noncommunicable diseases,"26,537",26536.7793
"Age-standardized DALYs (per 100,000)",2000,Africa,Algeria,Injuries,"4,078",4078.354
"Age-standardized DALYs (per 100,000)",2012,Africa,Algeria,All Causes,"34,790",34789.91016
"Age-standardized DALYs (per 100,000)",2012,Africa,Algeria,Communicable & other Group I,"5,963",5962.76416
"Age-standardized DALYs (per 100,000)",2012,Africa,Algeria,Noncommunicable diseases,"25,650",25650.34961
"Age-standardized DALYs (per 100,000)",2012,Africa,Algeria,Injuries,"3,177",3176.78906
"Age-standardized DALYs (per 100,000)",2000,Americas,Ecuador,All Causes,"35,058",35058
"Age-standardized DALYs (per 100,000)",2000,Americas,Ecuador,Communicable & other Group I,"9,208",9208.22363
"Age-standardized DALYs (per 100,000)",2000,Americas,Ecuador,Noncommunicable diseases,"20,958",20958.16992
"Age-standardized DALYs (per 100,000)",2000,Americas,Ecuador,Injuries,"4,892",4891.61279
"Age-standardized DALYs (per 100,000)",2012,Americas,Ecuador,All Causes,"29,357",29357.41992
"Age-standardized DALYs (per 100,000)",2012,Americas,Ecuador,Communicable & other Group I,"6,131",6131.23193
"Age-standardized DALYs (per 100,000)",2012,Americas,Ecuador,Noncommunicable diseases,"18,451",18450.91016
"Age-standardized DALYs (per 100,000)",2012,Americas,Ecuador,Injuries,"4,775",4775.28418
"Age-standardized DALYs (per 100,000)",2000,Eastern Mediterranean,Egypt,All Causes,"43,150",43149.92188
"Age-standardized DALYs (per 100,000)",2000,Eastern Mediterranean,Egypt,Communicable & other Group I,"9,772",9772.03027
"Age-standardized DALYs (per 100,000)",2000,Eastern Mediterranean,Egypt,Noncommunicable diseases,"30,729",30729.03906
"Age-standardized DALYs (per 100,000)",2000,Eastern Mediterranean,Egypt,Injuries,"2,649",2648.85205
"Age-standardized DALYs (per 100,000)",2012,Eastern Mediterranean,Egypt,All Causes,"35,784",35783.80859
"Age-standardized DALYs (per 100,000)",2012,Eastern Mediterranean,Egypt,Communicable & other Group I,"5,450",5450.24902
"Age-standardized DALYs (per 100,000)",2012,Eastern Mediterranean,Egypt,Noncommunicable diseases,"28,011",28010.61914
"Age-standardized DALYs (per 100,000)",2012,Eastern Mediterranean,Egypt,Injuries,"2,323",2322.93994
"Age-standardized DALYs (per 100,000)",2000,Africa,Eritrea,All Causes,"123,729",123729.2969
"Age-standardized DALYs (per 100,000)",2000,Africa,Eritrea,Communicable & other Group I,"42,581",42580.64844
"Age-standardized DALYs (per 100,000)",2000,Africa,Eritrea,Noncommunicable diseases,"32,160",32159.9707
"Age-standardized DALYs (per 100,000)",2000,Africa,Eritrea,Injuries,"48,989",48988.69141
"Age-standardized DALYs (per 100,000)",2012,Africa,Eritrea,All Causes,"57,089",57089.30078
"Age-standardized DALYs (per 100,000)",2012,Africa,Eritrea,Communicable & other Group I,"24,397",24397.49023
"Age-standardized DALYs (per 100,000)",2012,Africa,Eritrea,Noncommunicable diseases,"27,269",27269.39063
"Age-standardized DALYs (per 100,000)",2012,Africa,Eritrea,Injuries,"5,422",5422.42285
"Age-standardized DALYs (per 100,000)",2000,Europe,Spain,All Causes,"20,455",20454.53906
"Age-standardized DALYs (per 100,000)",2000,Europe,Spain,Communicable & other Group I,"1,569",1569.047
"Age-standardized DALYs (per 100,000)",2000,Europe,Spain,Noncommunicable diseases,"16,438",16437.83984
"Age-standardized DALYs (per 100,000)",2000,Europe,Spain,Injuries,"2,448",2447.65796
"Age-standardized DALYs (per 100,000)",2012,Europe,Spain,All Causes,"16,984",16983.73047
"Age-standardized DALYs (per 100,000)",2012,Europe,Spain,Communicable & other Group I,"1,163",1163.39905
"Age-standardized DALYs (per 100,000)",2012,Europe,Spain,Noncommunicable diseases,"14,247",14246.53027
"Age-standardized DALYs (per 100,000)",2012,Europe,Spain,Injuries,"1,574",1573.80103
"Age-standardized DALYs (per 100,000)",2000,Europe,Estonia,All Causes,"36,400",36400.42188
"Age-standardized DALYs (per 100,000)",2000,Europe,Estonia,Communicable & other Group I,"3,067",3066.70898
"Age-standardized DALYs (per 100,000)",2000,Europe,Estonia,Noncommunicable diseases,"27,417",27416.50977
"Age-standardized DALYs (per 100,000)",2000,Europe,Estonia,Injuries,"5,917",5917.2041
"Age-standardized DALYs (per 100,000)",2012,Europe,Estonia,All Causes,"26,242",26241.59961
"Age-standardized DALYs (per 100,000)",2012,Europe,Estonia,Communicable & other Group I,"2,005",2004.50598
"Age-standardized DALYs (per 100,000)",2012,Europe,Estonia,Noncommunicable diseases,"21,355",21354.55078
"Age-standardized DALYs (per 100,000)",2012,Europe,Estonia,Injuries,"2,883",2882.552
"Age-standardized DALYs (per 100,000)",2000,Africa,Ethiopia,All Causes,"94,034",94034.09375
"Age-standardized DALYs (per 100,000)",2000,Africa,Ethiopia,Communicable & other Group I,"58,869",58869.46875
"Age-standardized DALYs (per 100,000)",2000,Africa,Ethiopia,Noncommunicable diseases,"25,962",25961.82031
"Age-standardized DALYs (per 100,000)",2000,Africa,Ethiopia,Injuries,"9,203",9202.81152
"Age-standardized DALYs (per 100,000)",2012,Africa,Ethiopia,All Causes,"54,964",54964.39063
"Age-standardized DALYs (per 100,000)",2012,Africa,Ethiopia,Communicable & other Group I,"28,224",28223.76953
"Age-standardized DALYs (per 100,000)",2012,Africa,Ethiopia,Noncommunicable diseases,"21,724",21724.07031
"Age-standardized DALYs (per 100,000)",2012,Africa,Ethiopia,Injuries,"5,017",5016.5459
"Age-standardized DALYs (per 100,000)",2000,Europe,Finland,All Causes,"22,800",22799.82031
"Age-standardized DALYs (per 100,000)",2000,Europe,Finland,Communicable & other Group I,"1,237",1236.81604
"Age-standardized DALYs (per 100,000)",2000,Europe,Finland,Noncommunicable diseases,"18,317",18316.61914
"Age-standardized DALYs (per 100,000)",2000,Europe,Finland,Injuries,"3,246",3246.38599
"Age-standardized DALYs (per 100,000)",2012,Europe,Finland,All Causes,"19,843",19843.4707
"Age-standardized DALYs (per 100,000)",2012,Europe,Finland,Communicable & other Group I,776,776.33691
"Age-standardized DALYs (per 100,000)",2012,Europe,Finland,Noncommunicable diseases,"16,563",16562.83008
"Age-standardized DALYs (per 100,000)",2012,Europe,Finland,Injuries,"2,504",2504.30591
"Age-standardized DALYs (per 100,000)",2000,Western Pacific,Fiji,All Causes,"44,300",44300.39063
"Age-standardized DALYs (per 100,000)",2000,Western Pacific,Fiji,Communicable & other Group I,"7,594",7593.72705
"Age-standardized DALYs (per 100,000)",2000,Western Pacific,Fiji,Noncommunicable diseases,"32,408",32408.00977
"Age-standardized DALYs (per 100,000)",2000,Western Pacific,Fiji,Injuries,"4,299",4298.65723
"Age-standardized DALYs (per 100,000)",2012,Western Pacific,Fiji,All Causes,"39,681",39681.39844
"Age-standardized DALYs (per 100,000)",2012,Western Pacific,Fiji,Communicable & other Group I,"6,422",6422.37109
"Age-standardized DALYs (per 100,000)",2012,Western Pacific,Fiji,Noncommunicable diseases,"29,699",29699.13086
"Age-standardized DALYs (per 100,000)",2012,Western Pacific,Fiji,Injuries,"3,560",3559.90308
"Age-standardized DALYs (per 100,000)",2000,Europe,France,All Causes,"22,097",22096.92969
"Age-standardized DALYs (per 100,000)",2000,Europe,France,Communicable & other Group I,"1,348",1348.03503
"Age-standardized DALYs (per 100,000)",2000,Europe,France,Noncommunicable diseases,"17,777",17777.34961
"Age-standardized DALYs (per 100,000)",2000,Europe,France,Injuries,"2,972",2971.5459
"Age-standardized DALYs (per 100,000)",2012,Europe,France,All Causes,"19,104",19103.86914
"Age-standardized DALYs (per 100,000)",2012,Europe,France,Communicable & other Group I,"1,115",1115.18701
"Age-standardized DALYs (per 100,000)",2012,Europe,France,Noncommunicable diseases,"15,734",15734.21973
"Age-standardized DALYs (per 100,000)",2012,Europe,France,Injuries,"2,254",2254.46289
"Age-standardized DALYs (per 100,000)",2000,Africa,Gabon,All Causes,"68,540",68539.78125
"Age-standardized DALYs (per 100,000)",2000,Africa,Gabon,Communicable & other Group I,"40,010",40010.01953
"Age-standardized DALYs (per 100,000)",2000,Africa,Gabon,Noncommunicable diseases,"23,397",23397.41016
"Age-standardized DALYs (per 100,000)",2000,Africa,Gabon,Injuries,"5,132",5132.35498
"Age-standardized DALYs (per 100,000)",2012,Africa,Gabon,All Causes,"58,498",58498.05859
"Age-standardized DALYs (per 100,000)",2012,Africa,Gabon,Communicable & other Group I,"30,811",30810.91992
"Age-standardized DALYs (per 100,000)",2012,Africa,Gabon,Noncommunicable diseases,"23,004",23004.34961
"Age-standardized DALYs (per 100,000)",2012,Africa,Gabon,Injuries,"4,683",4682.79199
"Age-standardized DALYs (per 100,000)",2000,Europe,United Kingdom of Great Britain and Northern Ireland,All Causes,"23,336",23335.98047
"Age-standardized DALYs (per 100,000)",2000,Europe,United Kingdom of Great Britain and Northern Ireland,Communicable & other Group I,"1,911",1910.94397
"Age-standardized DALYs (per 100,000)",2000,Europe,United Kingdom of Great Britain and Northern Ireland,Noncommunicable diseases,"19,351",19351.25977
"Age-standardized DALYs (per 100,000)",2000,Europe,United Kingdom of Great Britain and Northern Ireland,Injuries,"2,074",2073.7771
"Age-standardized DALYs (per 100,000)",2012,Europe,United Kingdom of Great Britain and Northern Ireland,All Causes,"20,376",20375.93945
"Age-standardized DALYs (per 100,000)",2012,Europe,United Kingdom of Great Britain and Northern Ireland,Communicable & other Group I,"1,394",1393.96301
"Age-standardized DALYs (per 100,000)",2012,Europe,United Kingdom of Great Britain and Northern Ireland,Noncommunicable diseases,"17,157",17157.43945
"Age-standardized DALYs (per 100,000)",2012,Europe,United Kingdom of Great Britain and Northern Ireland,Injuries,"1,825",1824.53796
"Age-standardized DALYs (per 100,000)",2000,Europe,Georgia,All Causes,"33,696",33695.85938
"Age-standardized DALYs (per 100,000)",2000,Europe,Georgia,Communicable & other Group I,"6,038",6038.44922
"Age-standardized DALYs (per 100,000)",2000,Europe,Georgia,Noncommunicable diseases,"24,798",24798.44922
"Age-standardized DALYs (per 100,000)",2000,Europe,Georgia,Injuries,"2,859",2858.95605
"Age-standardized DALYs (per 100,000)",2012,Europe,Georgia,All Causes,"29,323",29322.56055
"Age-standardized DALYs (per 100,000)",2012,Europe,Georgia,Communicable & other Group I,"4,260",4260.14404
"Age-standardized DALYs (per 100,000)",2012,Europe,Georgia,Noncommunicable diseases,"22,553",22553.00977
"Age-standardized DALYs (per 100,000)",2012,Europe,Georgia,Injuries,"2,509",2509.40796
"Age-standardized DALYs (per 100,000)",2000,Africa,Ghana,All Causes,"71,507",71507.39844
"Age-standardized DALYs (per 100,000)",2000,Africa,Ghana,Communicable & other Group I,"41,076",41076.01172
"Age-standardized DALYs (per 100,000)",2000,Africa,Ghana,Noncommunicable diseases,"26,341",26340.91016
"Age-standardized DALYs (per 100,000)",2000,Africa,Ghana,Injuries,"4,090",4090.48193
"Age-standardized DALYs (per 100,000)",2012,Africa,Ghana,All Causes,"58,375",58375.39063
"Age-standardized DALYs (per 100,000)",2012,Africa,Ghana,Communicable & other Group I,"27,278",27277.93945
"Age-standardized DALYs (per 100,000)",2012,Africa,Ghana,Noncommunicable diseases,"26,829",26828.96094
"Age-standardized DALYs (per 100,000)",2012,Africa,Ghana,Injuries,"4,268",4268.48877
"Age-standardized DALYs (per 100,000)",2000,Africa,Guinea,All Causes,"99,628",99628.46094
"Age-standardized DALYs (per 100,000)",2000,Africa,Guinea,Communicable & other Group I,"63,188",63188.23828
"Age-standardized DALYs (per 100,000)",2000,Africa,Guinea,Noncommunicable diseases,"29,802",29802.01953
"Age-standardized DALYs (per 100,000)",2000,Africa,Guinea,Injuries,"6,638",6638.20996
"Age-standardized DALYs (per 100,000)",2012,Africa,Guinea,All Causes,"72,518",72517.86719
"Age-standardized DALYs (per 100,000)",2012,Africa,Guinea,Communicable & other Group I,"38,941",38940.83984
"Age-standardized DALYs (per 100,000)",2012,Africa,Guinea,Noncommunicable diseases,"28,033",28032.65039
"Age-standardized DALYs (per 100,000)",2012,Africa,Guinea,Injuries,"5,544",5544.37793
"Age-standardized DALYs (per 100,000)",2000,Africa,Gambia,All Causes,"77,325",77325.45313
"Age-standardized DALYs (per 100,000)",2000,Africa,Gambia,Communicable & other Group I,"41,769",41769.19141
"Age-standardized DALYs (per 100,000)",2000,Africa,Gambia,Noncommunicable diseases,"29,424",29424.13086
"Age-standardized DALYs (per 100,000)",2000,Africa,Gambia,Injuries,"6,132",6132.12207
"Age-standardized DALYs (per 100,000)",2012,Africa,Gambia,All Causes,"62,697",62696.89844
"Age-standardized DALYs (per 100,000)",2012,Africa,Gambia,Communicable & other Group I,"30,929",30928.5
"Age-standardized DALYs (per 100,000)",2012,Africa,Gambia,Noncommunicable diseases,"26,451",26451.0293
"Age-standardized DALYs (per 100,000)",2012,Africa,Gambia,Injuries,"5,317",5317.37012
"Age-standardized DALYs (per 100,000)",2000,Africa,Guinea-Bissau,All Causes,"93,520",93519.85156
"Age-standardized DALYs (per 100,000)",2000,Africa,Guinea-Bissau,Communicable & other Group I,"58,564",58563.89063
"Age-standardized DALYs (per 100,000)",2000,Africa,Guinea-Bissau,Noncommunicable diseases,"28,716",28715.81055
"Age-standardized DALYs (per 100,000)",2000,Africa,Guinea-Bissau,Injuries,"6,240",6240.14209
"Age-standardized DALYs (per 100,000)",2012,Africa,Guinea-Bissau,All Causes,"83,441",83440.6875
"Age-standardized DALYs (per 100,000)",2012,Africa,Guinea-Bissau,Communicable & other Group I,"48,396",48395.66016
"Age-standardized DALYs (per 100,000)",2012,Africa,Guinea-Bissau,Noncommunicable diseases,"28,967",28967.42969
"Age-standardized DALYs (per 100,000)",2012,Africa,Guinea-Bissau,Injuries,"6,078",6077.59521
"Age-standardized DALYs (per 100,000)",2000,Africa,Equatorial Guinea,All Causes,"98,162",98162.46094
"Age-standardized DALYs (per 100,000)",2000,Africa,Equatorial Guinea,Communicable & other Group I,"56,240",56240.37891
"Age-standardized DALYs (per 100,000)",2000,Africa,Equatorial Guinea,Noncommunicable diseases,"33,522",33521.91016
"Age-standardized DALYs (per 100,000)",2000,Africa,Equatorial Guinea,Injuries,"8,400",8400.1748
"Age-standardized DALYs (per 100,000)",2012,Africa,Equatorial Guinea,All Causes,"82,201",82201.47656
"Age-standardized DALYs (per 100,000)",2012,Africa,Equatorial Guinea,Communicable & other Group I,"43,229",43228.73828
"Age-standardized DALYs (per 100,000)",2012,Africa,Equatorial Guinea,Noncommunicable diseases,"30,872",30872.14063
"Age-standardized DALYs (per 100,000)",2012,Africa,Equatorial Guinea,Injuries,"8,101",8100.60693
"Age-standardized DALYs (per 100,000)",2000,Europe,Greece,All Causes,"22,112",22112.0293
"Age-standardized DALYs (per 100,000)",2000,Europe,Greece,Communicable & other Group I,"1,428",1428.15002
"Age-standardized DALYs (per 100,000)",2000,Europe,Greece,Noncommunicable diseases,"18,093",18092.85938
"Age-standardized DALYs (per 100,000)",2000,Europe,Greece,Injuries,"2,591",2591.021
"Age-standardized DALYs (per 100,000)",2012,Europe,Greece,All Causes,"19,627",19627.43945
"Age-standardized DALYs (per 100,000)",2012,Europe,Greece,Communicable & other Group I,"1,121",1121.18005
"Age-standardized DALYs (per 100,000)",2012,Europe,Greece,Noncommunicable diseases,"16,364",16363.53027
"Age-standardized DALYs (per 100,000)",2012,Europe,Greece,Injuries,"2,143",2142.72803
"Age-standardized DALYs (per 100,000)",2000,Americas,Guatemala,All Causes,"45,470",45470.28125
"Age-standardized DALYs (per 100,000)",2000,Americas,Guatemala,Communicable & other Group I,"15,752",15751.80957
"Age-standardized DALYs (per 100,000)",2000,Americas,Guatemala,Noncommunicable diseases,"21,821",21820.93945
"Age-standardized DALYs (per 100,000)",2000,Americas,Guatemala,Injuries,"7,898",7897.52588
"Age-standardized DALYs (per 100,000)",2012,Americas,Guatemala,All Causes,"37,079",37078.78125
"Age-standardized DALYs (per 100,000)",2012,Americas,Guatemala,Communicable & other Group I,"10,821",10820.75977
"Age-standardized DALYs (per 100,000)",2012,Americas,Guatemala,Noncommunicable diseases,"19,795",19794.96094
"Age-standardized DALYs (per 100,000)",2012,Americas,Guatemala,Injuries,"6,463",6463.05078
"Age-standardized DALYs (per 100,000)",2000,Americas,Guyana,All Causes,"51,259",51258.82031
"Age-standardized DALYs (per 100,000)",2000,Americas,Guyana,Communicable & other Group I,"12,705",12705.11035
"Age-standardized DALYs (per 100,000)",2000,Americas,Guyana,Noncommunicable diseases,"30,962",30962.2793
"Age-standardized DALYs (per 100,000)",2000,Americas,Guyana,Injuries,"7,591",7591.42578
"Age-standardized DALYs (per 100,000)",2012,Americas,Guyana,All Causes,"55,470",55469.55078
"Age-standardized DALYs (per 100,000)",2012,Americas,Guyana,Communicable & other Group I,"10,593",10593.0498
"Age-standardized DALYs (per 100,000)",2012,Americas,Guyana,Noncommunicable diseases,"36,078",36078.30078
"Age-standardized DALYs (per 100,000)",2012,Americas,Guyana,Injuries,"8,798",8798.21191
"Age-standardized DALYs (per 100,000)",2000,Americas,Honduras,All Causes,"39,090",39090.42188
"Age-standardized DALYs (per 100,000)",2000,Americas,Honduras,Communicable & other Group I,"12,598",12597.99023
"Age-standardized DALYs (per 100,000)",2000,Americas,Honduras,Noncommunicable diseases,"21,929",21929.43945
"Age-standardized DALYs (per 100,000)",2000,Americas,Honduras,Injuries,"4,563",4563.00293
